request_time,wait_time,pick_index,drop_index,order_distance,order_fare,detour_ratio
68570,480,3438,4358,2673.0,9.95,1.0
68570,180,3061,804,8865.0,33.01,0.25
68570,480,1323,650,3145.0,11.71,0.5
68570,240,3027,1841,3163.0,11.78,1.0
68570,480,4409,3966,7468.0,27.81,0.5
68571,420,3492,1185,2776.0,10.34,1.0
68572,360,2967,861,2993.0,11.14,0.75
68572,240,2435,2619,2321.0,8.64,0.25
68573,360,3830,654,2320.0,8.64,0.75
68573,420,490,2466,1122.0,4.18,1.0
68573,480,3799,515,3439.0,12.8,1.0
68574,180,2773,2319,7414.0,27.6,0.25
68574,300,1582,2633,1367.0,5.09,1.0
68574,360,3333,809,6155.0,22.92,0.25
68574,480,3538,3075,2923.0,10.88,0.25
68575,300,3264,2336,1166.0,4.34,1.0
68575,240,295,3267,2722.0,10.13,0.25
68575,360,3997,3015,2500.0,9.31,0.75
68576,300,3368,3071,1199.0,4.46,0.5
68576,240,3031,3324,5843.0,21.76,0.75
68577,360,1643,2565,1982.0,7.38,0.5
68577,300,3729,3964,2880.0,10.72,0.5
68577,180,3931,664,3293.0,12.26,0.75
68577,360,1402,18,2476.0,9.22,0.75
68577,360,2550,2958,5644.0,21.01,1.0
68577,180,3298,1653,4063.0,15.13,0.75
68578,360,1109,2112,2695.0,10.03,1.0
68578,180,3307,3482,2727.0,10.15,0.25
68578,360,1033,4137,3745.0,13.94,0.75
68579,180,1612,2206,3234.0,12.04,1.0
68579,480,522,3041,1302.0,4.85,0.25
68580,240,3374,3284,1946.0,7.25,1.0
68582,420,1299,2926,3286.0,12.23,0.5
68583,240,1350,1892,4079.0,15.19,0.25
68584,240,509,2991,3361.0,12.51,0.75
68584,240,629,1113,5632.0,20.97,1.0
68584,480,781,4498,3214.0,11.97,0.5
68584,420,4571,2558,1619.0,6.03,0.25
68586,300,2541,3926,2674.0,9.96,1.0
68586,300,576,1605,3455.0,12.86,0.25
68586,240,1469,4439,4194.0,15.62,0.75
68587,420,947,1818,1585.0,5.9,0.5
68587,240,3967,3864,2566.0,9.55,0.25
68589,240,2617,268,5384.0,20.05,0.75
68589,480,1243,3337,4377.0,16.3,1.0
68589,240,4016,362,3536.0,13.17,0.75
68590,180,1368,2992,3007.0,11.2,1.0
68590,300,1508,825,3911.0,14.56,0.25
68590,480,1067,3925,3188.0,11.87,0.5
68590,420,2407,1799,7963.0,29.65,0.75
68591,480,458,1981,3393.0,12.63,1.0
68591,360,1402,641,5803.0,21.61,0.5
68591,420,1242,1541,2584.0,9.62,0.25
68593,240,1818,2684,1611.0,6.0,1.0
68593,480,1640,1371,2694.0,10.03,0.5
68593,360,3265,3382,1909.0,7.11,1.0
68593,300,2946,1436,6117.0,22.78,1.0
68593,420,3338,674,3367.0,12.54,0.5
68594,360,2487,52,2190.0,8.15,0.25
68595,240,4571,3002,2042.0,7.6,1.0
68596,240,3529,4104,1340.0,4.99,0.75
68596,360,621,3627,1313.0,4.89,0.5
68596,300,1029,3580,2165.0,8.06,0.5
68597,240,605,1040,4213.0,15.69,0.5
68597,180,3685,1025,1381.0,5.14,0.25
68597,240,2186,2027,2243.0,8.35,0.75
68597,180,3698,1976,5199.0,19.36,0.25
68597,180,3433,3550,3624.0,13.49,0.75
68598,300,1121,1372,2766.0,10.3,0.25
68598,180,802,4208,4245.0,15.81,0.25
68599,240,4273,1839,1026.0,3.82,1.0
68599,240,3002,2370,1127.0,4.2,0.75
68599,360,2407,1347,3198.0,11.91,0.5
68600,300,1117,1291,2227.0,8.29,1.0
68600,240,3842,2885,1507.0,5.61,0.75
68600,240,244,4309,1954.0,7.28,0.75
68601,420,1546,741,2641.0,9.83,1.0
68601,300,4522,3214,5321.0,19.81,0.25
68602,240,3327,1743,1216.0,4.53,1.0
68602,360,1802,2497,2279.0,8.49,1.0
68602,480,1349,4081,2619.0,9.75,0.5
68603,360,2960,511,1430.0,5.32,0.25
68603,300,2840,475,3980.0,14.82,0.5
68603,180,3011,3958,2243.0,8.35,1.0
68603,180,4113,3162,2848.0,10.6,0.25
68603,300,3407,3776,3006.0,11.19,0.25
68604,300,4494,3024,3636.0,13.54,1.0
68604,360,1033,3593,1020.0,3.8,1.0
68605,480,3484,923,3156.0,11.75,0.75
68605,420,2000,2086,5985.0,22.28,0.5
68606,240,2293,1062,5945.0,22.14,0.5
68606,480,3744,314,6601.0,24.58,0.25
68607,360,1124,3307,2492.0,9.28,0.5
68607,300,3873,3293,1588.0,5.91,0.25
68607,420,1479,3091,3986.0,14.84,1.0
68607,180,3341,2246,5539.0,20.62,1.0
68607,240,3061,1379,1133.0,4.22,0.5
68607,480,64,3847,4199.0,15.63,1.0
68608,480,24,672,4251.0,15.83,0.25
68608,300,1519,247,2756.0,10.26,0.75
68609,240,3226,1038,2679.0,9.97,0.5
68609,480,3009,3262,2434.0,9.06,0.5
68609,300,1926,2378,2288.0,8.52,1.0
68610,420,378,860,2333.0,8.69,0.25
68611,360,2956,1526,5136.0,19.12,1.0
68611,300,3070,2330,2489.0,9.27,0.5
68612,240,379,1200,2846.0,10.6,0.25
68613,180,3938,2981,2237.0,8.33,0.5
68614,240,195,543,6494.0,24.18,0.75
68615,300,3703,2374,2716.0,10.11,1.0
68615,180,1124,4506,1898.0,7.07,0.25
68616,420,1771,1526,3377.0,12.57,1.0
68617,180,2471,3476,2045.0,7.61,0.5
68618,240,2091,2466,1847.0,6.88,0.5
68618,480,2141,1320,4351.0,16.2,0.75
68618,420,3964,4092,1836.0,6.84,0.75
68619,480,2620,670,1821.0,6.78,0.5
68619,240,3192,3018,2586.0,9.63,0.75
68619,240,151,2728,4621.0,17.21,0.5
68619,240,1347,1771,1369.0,5.1,1.0
68620,180,1801,3288,1512.0,5.63,1.0
